City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
564,tommot,58.9564,126.2925,-13.12,90,100,4.36,RU,1678152005
565,asfi,32.2994,-9.2372,15.36,88,31,1.13,MA,1678152007
566,bay roberts,47.5999,-53.2648,-1.03,88,64,0.89,CA,1678151644
567,bonthe,7.5264,-12.505,25.14,85,100,3.34,SL,1678152015
568,smithers,54.7804,-127.1743,-7.78,79,100,0.82,CA,1678151736
569,amarwara,22.3,79.1667,20.3,35,95,0.92,IN,1678152010
570,snyder,32.7179,-100.9176,26.19,8,0,2.06,US,1678152021
571,wamba,8.9333,8.6,26.27,62,100,1.1,NG,1678152021
572,porto novo,6.4965,2.6036,24.9,95,100,4.25,BJ,1678152022
573,brodokalmak,55.5748,62.082,-10.5,96,73,1.88,RU,1678152023
574,eydhafushi,5.1033,73.0708,27.31,77,88,5.51,MV,1678152024
575,tura,25.5198,90.2201,19.38,30,0,1.15,IN,1678151553
576,brae,60.3964,-1.353,0.73,63,100,10.88,GB,1678151501
577,neryungri,56.6709,124.6491,-18.78,83,97,0.33,RU,1678152026
578,maun,-19.9833,23.4167,20.25,84,100,1.37,BW,1678152027
579,kemijarvi,66.7131,27.4306,-17.29,98,100,1.2,FI,1678152028
